chr	pos	20_20-N4	20_20-N2	20_20-N1	OC_OC-N5	OC_OC-N1	OC_OC-N2	OC_OC-N4
KN805608.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805608.1:1:633421:1 REF	134514	0.42	0.42	0.43	0.38	0.29	0.24	0.48
KN805609.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805609.1:1:712217:1 REF	188625	0.93	1.00	1.00	0.97	0.98	0.88	0.42
KN805609.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805609.1:1:712217:1 REF	552530	0.70	0.18	0.10	0.78	0.86	0.83	0.30
KN805609.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805609.1:1:712217:1 REF	578505	0.53	0.53	1.00	0.81	0.97	0.88	1.00
KN805609.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805609.1:1:712217:1 REF	578524	0.74	0.73	1.00	0.85	1.00	0.88	0.62
KN805609.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805609.1:1:712217:1 REF	578537	0.47	0.87	1.00	0.81	0.92	0.94	0.69
KN805609.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805609.1:1:712217:1 REF	578544	0.71	0.87	1.00	0.74	0.97	0.94	0.92
KN805610.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805610.1:1:629617:1 REF	285262	0.89	0.88	0.83	0.73	0.84	0.83	0.88
KN805610.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805610.1:1:629617:1 REF	285275	0.85	0.89	0.75	0.86	0.84	0.90	0.94
KN805610.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805610.1:1:629617:1 REF	285278	0.90	0.89	0.92	0.95	0.90	0.93	0.92
KN805615.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805615.1:1:639059:1 REF	218570	0.53	0.78	1.00	1.00	0.99	0.96	0.98
KN805616.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805616.1:1:675151:1 REF	299196	0.99	1.00	0.65	1.00	0.96	0.98	1.00
KN805616.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805616.1:1:675151:1 REF	299263	0.90	0.92	0.78	0.86	1.00	0.91	0.84
KN805616.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805616.1:1:675151:1 REF	299349	0.96	0.95	0.95	0.85	0.96	0.93	0.90
KN805616.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805616.1:1:675151:1 REF	299381	1.00	1.00	1.00	1.00	0.96	0.86	0.96
KN805616.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805616.1:1:675151:1 REF	299383	0.92	1.00	1.00	0.92	0.96	0.89	0.98
KN805616.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805616.1:1:675151:1 REF	299388	0.96	1.00	0.91	1.00	1.00	0.86	0.96
KN805616.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805616.1:1:675151:1 REF	299394	0.98	1.00	0.95	1.00	0.91	0.93	1.00
KN805617.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805617.1:1:651836:1 REF	22849	0.63	0.92	0.77	0.80	0.92	0.75	0.93
KN805617.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805617.1:1:651836:1 REF	456990	1.00	0.59	0.85	0.97	0.94	0.86	0.88
KN805617.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805617.1:1:651836:1 REF	456999	0.96	0.76	0.80	0.19	0.81	0.91	0.88
KN805620.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805620.1:1:639067:1 REF	265580	0.79	0.76	0.68	0.45	0.70	0.82	0.89
KN805625.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805625.1:1:611717:1 REF	485996	0.67	0.87	1.00	0.41	0.55	0.88	0.95
KN805625.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805625.1:1:611717:1 REF	486003	0.57	0.87	1.00	0.95	0.94	0.88	0.87
KN805625.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805625.1:1:611717:1 REF	486016	0.70	0.80	1.00	0.89	0.98	0.88	0.33
KN805625.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805625.1:1:611717:1 REF	486035	0.66	0.67	1.00	0.93	0.98	0.82	0.95
KN805627.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805627.1:1:618420:1 REF	333584	0.23	0.13	0.18	0.65	0.42	0.40	0.81
KN805627.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805627.1:1:618420:1 REF	557816	0.33	0.16	0.83	0.97	0.97	0.94	0.87
KN805628.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805628.1:1:622486:1 REF	155538	0.38	0.57	1.00	0.88	0.92	0.89	0.93
KN805628.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805628.1:1:622486:1 REF	155557	0.81	0.79	1.00	0.84	0.97	0.89	0.64
KN805628.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805628.1:1:622486:1 REF	155570	0.35	0.93	1.00	0.88	0.90	0.89	0.64
KN805628.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805628.1:1:622486:1 REF	155577	0.77	0.93	1.00	0.72	0.92	0.95	0.86
KN805628.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805628.1:1:622486:1 REF	196443	0.86	0.97	0.25	0.54	0.60	0.96	0.97
KN805629.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805629.1:1:700478:1 REF	181017	0.56	0.88	0.86	0.68	0.90	0.91	0.87
KN805629.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805629.1:1:700478:1 REF	181025	0.76	1.00	0.95	0.76	0.98	0.92	0.88
KN805629.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805629.1:1:700478:1 REF	181034	0.78	0.70	0.71	0.81	0.91	0.91	0.77
KN805629.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805629.1:1:700478:1 REF	605402	0.50	0.14	0.10	0.79	0.86	0.80	0.25
KN805629.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805629.1:1:700478:1 REF	605431	0.95	0.60	0.47	0.47	0.67	0.45	0.99
KN805633.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805633.1:1:607118:1 REF	49001	0.22	0.25	0.40	0.16	0.13	0.26	0.17
KN805635.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805635.1:1:687412:1 REF	657991	0.12	0.97	0.64	0.38	0.41	0.23	0.97
KN805636.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805636.1:1:608264:1 REF	508965	0.42	1.00	0.92	0.91	0.81	0.74	0.83
KN805642.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805642.1:1:624550:1 REF	164478	0.74	1.00	0.92	1.00	0.95	0.58	1.00
KN805643.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805643.1:1:565388:1 REF	117410	0.53	0.42	0.25	0.19	0.23	0.41	0.80
KN805643.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805643.1:1:565388:1 REF	117412	0.15	0.11	0.25	0.20	0.25	0.41	0.36
KN805645.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805645.1:1:614549:1 REF	450810	0.79	0.45	0.59	0.73	0.62	0.70	0.79
KN805646.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805646.1:1:561879:1 REF	476601	0.58	0.85	0.82	0.60	0.82	0.93	0.83
KN805646.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805646.1:1:561879:1 REF	476606	0.56	0.65	0.82	0.40	0.82	0.73	0.86
KN805646.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805646.1:1:561879:1 REF	476608	0.50	0.85	0.79	0.50	0.75	0.73	0.79
KN805647.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805647.1:1:551522:1 REF	139145	1.00	1.00	1.00	1.00	0.76	1.00	0.60
KN805647.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805647.1:1:551522:1 REF	139149	1.00	1.00	1.00	0.83	0.74	1.00	0.89
KN805647.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805647.1:1:551522:1 REF	139155	1.00	0.95	1.00	1.00	0.73	0.96	0.90
KN805647.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805647.1:1:551522:1 REF	139171	1.00	0.64	0.62	0.82	0.13	0.96	0.58
KN805647.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805647.1:1:551522:1 REF	139175	1.00	1.00	1.00	1.00	0.77	1.00	0.97
KN805647.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805647.1:1:551522:1 REF	139179	1.00	1.00	0.96	1.00	0.58	1.00	0.98
KN805647.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805647.1:1:551522:1 REF	139185	0.97	0.67	0.96	1.00	0.74	1.00	0.91
KN805647.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805647.1:1:551522:1 REF	329733	0.53	0.78	1.00	1.00	0.98	0.96	0.98
KN805648.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805648.1:1:626606:1 REF	231764	0.74	0.78	1.00	1.00	0.98	0.96	0.98
KN805649.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805649.1:1:578710:1 REF	83950	0.98	0.97	0.73	1.00	1.00	0.98	0.86
KN805649.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805649.1:1:578710:1 REF	83959	0.97	0.97	0.73	0.55	0.95	0.95	0.73
KN805650.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805650.1:1:604622:1 REF	378906	0.33	0.68	0.61	0.47	0.44	0.50	0.26
KN805651.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805651.1:1:563604:1 REF	248637	0.33	0.18	0.11	0.43	0.29	0.44	0.55
KN805651.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805651.1:1:563604:1 REF	248682	0.30	0.14	0.29	0.24	0.22	0.29	0.44
KN805652.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805652.1:1:553614:1 REF	283380	0.87	0.47	0.96	0.90	0.77	0.73	0.82
KN805655.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805655.1:1:630741:1 REF	273677	0.69	0.42	0.24	0.79	0.66	0.73	0.64
KN805658.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805658.1:1:669091:1 REF	19366	0.70	1.00	0.92	1.00	0.68	0.86	0.90
KN805658.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805658.1:1:669091:1 REF	191775	1.00	1.00	1.00	1.00	1.00	1.00	1.00
KN805658.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805658.1:1:669091:1 REF	191779	1.00	1.00	1.00	1.00	1.00	1.00	1.00
KN805658.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805658.1:1:669091:1 REF	192064	0.90	1.00	0.70	0.94	0.90	1.00	1.00
KN805658.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805658.1:1:669091:1 REF	192071	0.82	0.83	0.27	0.98	0.77	0.93	0.82
KN805658.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805658.1:1:669091:1 REF	460617	0.64	0.87	1.00	0.70	0.94	0.93	0.94
KN805658.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805658.1:1:669091:1 REF	460624	0.54	0.87	1.00	0.91	0.89	0.93	0.75
KN805658.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805658.1:1:669091:1 REF	460637	0.68	0.80	1.00	0.83	0.97	0.87	0.69
KN805658.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805658.1:1:669091:1 REF	460656	0.59	0.67	1.00	0.91	0.97	0.87	0.94
KN805660.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805660.1:1:575038:1 REF	200299	0.94	0.60	0.88	0.55	0.42	0.87	0.87
KN805660.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805660.1:1:575038:1 REF	200301	0.86	0.84	0.87	0.67	0.36	0.67	0.94
KN805660.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805660.1:1:575038:1 REF	200306	0.85	0.86	0.91	0.79	0.94	0.63	0.68
KN805660.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805660.1:1:575038:1 REF	200312	0.87	0.77	1.00	0.85	0.97	0.74	0.96
KN805660.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805660.1:1:575038:1 REF	240108	0.67	0.92	0.90	0.64	0.69	0.45	0.85
KN805661.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805661.1:1:579257:1 REF	178984	1.00	1.00	0.57	1.00	0.96	1.00	1.00
KN805661.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805661.1:1:579257:1 REF	269518	0.93	1.00	1.00	0.97	0.98	0.46	0.42
KN805661.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805661.1:1:579257:1 REF	276458	0.44	0.54	0.19	0.86	0.19	0.11	0.86
KN805662.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805662.1:1:532606:1 REF	474470	0.33	0.17	0.14	0.23	0.21	0.12	0.28
KN805670.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805670.1:1:527936:1 REF	256033	0.18	0.36	0.14	0.63	0.17	0.66	0.23
KN805673.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805673.1:1:592974:1 REF	128001	1.00	0.62	0.94	0.93	0.98	0.93	1.00
KN805673.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805673.1:1:592974:1 REF	128017	0.92	1.00	1.00	0.96	0.88	0.89	1.00
KN805673.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805673.1:1:592974:1 REF	128041	1.00	0.81	0.94	0.96	1.00	0.98	1.00
KN805673.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805673.1:1:592974:1 REF	567789	0.94	1.00	1.00	0.12	0.32	0.41	0.90
KN805677.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805677.1:1:546144:1 REF	9957	1.00	1.00	0.78	0.79	0.88	0.80	0.88
KN805677.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805677.1:1:546144:1 REF	265949	0.92	0.92	0.88	0.81	0.80	0.94	0.89
KN805677.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805677.1:1:546144:1 REF	265969	0.86	1.00	0.94	0.73	0.85	0.82	0.85
KN805677.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805677.1:1:546144:1 REF	266020	0.93	0.97	0.77	0.14	0.78	0.47	0.88
KN805679.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805679.1:1:591036:1 REF	168583	1.00	0.62	0.94	0.44	0.96	0.95	1.00
KN805683.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805683.1:1:546710:1 REF	234503	0.98	0.77	0.96	0.94	1.00	0.95	0.98
KN805686.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805686.1:1:543376:1 REF	118385	0.54	0.78	0.91	1.00	0.98	0.98	0.98
KN805691.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805691.1:1:514593:1 REF	241013	1.00	0.80	1.00	0.90	0.89	1.00	0.94
KN805695.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805695.1:1:504856:1 REF	491609	0.98	0.75	0.96	0.93	1.00	0.92	0.97
KN805695.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805695.1:1:504856:1 REF	491642	0.89	0.57	0.96	0.88	0.94	0.97	0.95
KN805697.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805697.1:1:580679:1 REF	3589	0.69	0.92	1.00	0.90	0.93	0.74	0.96
KN805697.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805697.1:1:580679:1 REF	107854	0.71	1.00	0.55	0.26	0.21	0.57	0.58
KN805697.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805697.1:1:580679:1 REF	163076	0.72	0.27	0.94	0.53	0.80	0.84	0.97
KN805697.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805697.1:1:580679:1 REF	163115	0.66	0.40	0.72	0.80	0.65	0.69	0.94
KN805697.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805697.1:1:580679:1 REF	180007	0.61	0.47	0.53	0.75	0.80	0.67	0.28
KN805697.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805697.1:1:580679:1 REF	288671	1.00	1.00	1.00	0.91	0.81	0.89	1.00
KN805697.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805697.1:1:580679:1 REF	288675	1.00	1.00	1.00	0.80	1.00	0.91	0.90
KN805697.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805697.1:1:580679:1 REF	288681	1.00	0.96	1.00	1.00	0.96	0.92	1.00
KN805697.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805697.1:1:580679:1 REF	288697	0.99	0.71	0.53	0.82	0.85	0.86	0.99
KN805697.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805697.1:1:580679:1 REF	288701	0.98	1.00	1.00	0.94	1.00	0.92	1.00
KN805697.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805697.1:1:580679:1 REF	375041	0.60	0.75	0.76	0.37	0.62	0.59	0.67
KN805698.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805698.1:1:3869695:1 REF	1789345	0.96	0.28	0.93	0.80	0.92	0.89	0.73
KN805698.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805698.1:1:3869695:1 REF	1789351	0.92	0.20	0.85	0.50	0.92	0.83	0.95
KN805698.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805698.1:1:3869695:1 REF	2807602	0.67	0.45	0.95	0.57	0.26	0.45	0.76
KN805698.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805698.1:1:3869695:1 REF	3037242	0.46	0.58	0.39	0.94	0.27	0.73	0.85
KN805698.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805698.1:1:3869695:1 REF	3660048	0.75	0.78	1.00	1.00	0.99	0.98	0.98
KN805706.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805706.1:1:540100:1 REF	26202	0.24	0.33	0.43	0.67	0.93	0.87	0.18
KN805707.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805707.1:1:547019:1 REF	9764	0.75	0.78	1.00	1.00	0.99	0.98	0.98
KN805708.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805708.1:1:553889:1 REF	318782	0.87	0.95	0.97	1.00	0.90	0.85	0.95
KN805708.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805708.1:1:553889:1 REF	318792	0.86	0.95	0.96	1.00	0.91	0.90	0.92
KN805708.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805708.1:1:553889:1 REF	318812	0.90	0.95	0.89	1.00	0.94	0.90	0.78
KN805708.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805708.1:1:553889:1 REF	322618	0.91	0.93	1.00	0.91	0.86	0.94	0.92
KN805708.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805708.1:1:553889:1 REF	322630	1.00	0.94	0.88	0.67	0.86	0.89	0.90
KN805709.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805709.1:1:508242:1 REF	446924	0.22	0.20	0.27	0.14	0.48	0.48	0.82
KN805710.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805710.1:1:498470:1 REF	16525	0.89	0.60	0.47	0.60	0.63	0.31	0.98
KN805719.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805719.1:1:477110:1 REF	352705	0.96	0.99	0.90	0.70	0.81	0.67	0.96
KN805719.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805719.1:1:477110:1 REF	352713	0.96	0.99	0.90	0.70	0.81	0.69	0.65
KN805719.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805719.1:1:477110:1 REF	352739	0.50	0.62	0.80	0.34	0.86	0.89	0.99
KN805724.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805724.1:1:460972:1 REF	95925	0.88	0.97	1.00	0.96	1.00	0.90	0.90
KN805734.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805734.1:1:499554:1 REF	213869	0.56	0.38	0.62	0.75	0.90	0.90	0.67
KN805734.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805734.1:1:499554:1 REF	213871	0.68	0.52	0.74	0.76	0.93	0.93	0.73
KN805735.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805735.1:1:446261:1 REF	428383	0.98	0.15	0.56	0.33	0.56	0.46	0.69
KN805738.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805738.1:1:519975:1 REF	187599	0.55	0.60	0.50	0.74	0.65	0.34	0.98
KN805738.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805738.1:1:519975:1 REF	243842	0.99	0.12	0.56	0.75	0.55	0.51	0.69
KN805739.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805739.1:1:541555:1 REF	174996	0.88	0.18	0.10	0.42	0.94	0.89	0.21
KN805741.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805741.1:1:477986:1 REF	373838	0.86	0.73	0.33	0.13	0.40	0.62	0.36
KN805750.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805750.1:1:549272:1 REF	122053	0.95	0.92	0.86	0.68	0.82	0.94	0.92
KN805750.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805750.1:1:549272:1 REF	122065	0.94	0.97	0.92	0.80	0.92	0.88	0.90
KN805750.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805750.1:1:549272:1 REF	122071	0.91	0.93	0.89	0.92	0.89	0.79	0.82
KN805750.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805750.1:1:549272:1 REF	122078	0.85	0.93	0.97	0.92	0.83	0.79	0.84
KN805753.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805753.1:1:418946:1 REF	51744	0.80	0.75	0.55	0.97	0.95	0.96	0.86
KN805755.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805755.1:1:444797:1 REF	153951	0.28	0.32	0.29	0.31	0.61	0.48	0.30
KN805755.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805755.1:1:444797:1 REF	234670	0.63	0.87	1.00	0.71	0.94	0.93	0.94
KN805755.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805755.1:1:444797:1 REF	234677	0.52	0.87	1.00	0.92	0.89	0.93	0.75
KN805755.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805755.1:1:444797:1 REF	234690	0.67	0.80	1.00	0.83	0.97	0.87	0.69
KN805755.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805755.1:1:444797:1 REF	234709	0.62	0.67	1.00	0.92	0.97	0.87	0.94
KN805756.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805756.1:1:516484:1 REF	107512	0.90	0.75	0.42	0.30	0.33	0.84	1.00
KN805756.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805756.1:1:516484:1 REF	475880	0.70	0.22	0.10	0.42	0.83	0.83	0.20
KN805758.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805758.1:1:559975:1 REF	5626	0.67	0.34	0.59	0.32	0.58	0.78	0.35
KN805758.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805758.1:1:559975:1 REF	59822	0.89	0.60	0.47	0.60	0.63	0.31	0.98
KN805758.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805758.1:1:559975:1 REF	268610	0.80	0.17	0.81	0.16	0.81	0.89	0.65
KN805758.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805758.1:1:559975:1 REF	268650	0.82	0.26	0.64	0.95	0.93	0.90	0.96
KN805758.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805758.1:1:559975:1 REF	469348	0.74	1.00	1.00	1.00	0.60	0.81	1.00
KN805758.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805758.1:1:559975:1 REF	500227	0.74	0.47	0.87	0.71	0.68	0.49	0.86
KN805758.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805758.1:1:559975:1 REF	500236	0.93	1.00	0.95	1.00	0.69	0.68	0.94
KN805763.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805763.1:1:439548:1 REF	292882	0.96	0.95	0.59	0.58	0.89	0.78	0.81
KN805763.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805763.1:1:439548:1 REF	369242	0.86	0.38	1.00	0.90	0.60	0.64	0.78
