chr	pos	NO_20-S1	NO_20-S3	NO_20-S4	NO_20-S2	OC_OC-S1	OC_OC-S2	OC_OC-S3	OC_OC-S5
JXMV01064397.1	703	0.98	0.99	1.00	0.01	0.98	1.00	0.99	0.40
JXMV01064403.1	3402	0.00	0.00	0.01	0.00	0.01	0.00	0.00	0.00
JXMV01064403.1	3538	0.00	0.28	0.01	0.00	0.40	0.00	0.00	0.00
JXMV01064449.1	58	0.84	0.08	0.69	0.00	0.94	0.78	0.68	0.00
JXMV01064449.1	74	0.66	0.06	0.64	0.00	0.68	0.65	0.49	0.00
JXMV01064449.1	5074	0.01	0.26	0.00	1.00	0.02	0.00	0.21	1.00
JXMV01064456.1	1350	0.70	0.25	0.14	0.04	0.25	0.00	0.44	0.08
JXMV01064456.1	1398	0.69	0.49	0.33	0.63	0.66	0.42	0.35	0.00
JXMV01064461.1	1663	0.66	0.99	0.93	0.00	0.65	0.95	0.48	1.00
JXMV01064461.1	1696	0.67	0.76	0.81	0.01	0.65	0.00	0.19	1.00
JXMV01064461.1	1708	0.68	0.75	0.67	0.00	0.33	0.00	0.27	1.00
JXMV01064469.1	151	0.76	0.80	0.66	0.18	0.75	0.93	0.86	0.01
JXMV01064487.1	4207	0.01	0.20	0.00	0.00	0.08	0.00	0.01	0.00
JXMV01064487.1	4208	0.02	0.00	0.00	0.54	0.00	0.33	0.23	0.00
JXMV01064487.1	4285	0.00	0.00	0.00	0.00	0.00	0.00	0.11	0.01
JXMV01064487.1	4307	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064487.1	4310	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064487.1	4317	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
JXMV01064487.1	4351	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064487.1	4358	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064487.1	4363	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064487.1	4365	0.00	0.00	0.33	0.00	0.00	0.00	0.21	0.00
JXMV01064487.1	4374	0.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064487.1	4384	0.25	0.00	0.10	0.00	0.00	0.00	0.07	0.00
JXMV01064487.1	4385	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00
JXMV01064509.1	3456	0.83	0.79	0.85	0.65	0.92	1.00	0.68	0.96
JXMV01064509.1	3473	0.84	0.75	0.84	0.67	0.89	1.00	0.92	1.00
JXMV01064550.1	2231	0.20	0.38	0.13	0.00	0.35	0.71	0.07	0.00
JXMV01064550.1	2247	0.30	0.38	0.17	0.00	0.35	0.36	0.07	0.95
JXMV01064550.1	2263	0.30	0.01	0.16	0.97	0.70	0.36	0.42	0.00
JXMV01064573.1	1484	0.78	0.92	1.00	1.00	0.93	1.00	0.91	1.00
JXMV01064573.1	1491	1.00	0.87	0.78	0.00	1.00	1.00	0.95	0.99
JXMV01064573.1	1492	1.00	1.00	0.00	1.00	1.00	1.00	1.00	1.00
JXMV01064573.1	1504	1.00	1.00	1.00	1.00	1.00	0.74	0.95	1.00
JXMV01064573.1	1505	0.75	1.00	1.00	0.00	1.00	1.00	1.00	1.00
JXMV01064573.1	1518	0.85	0.87	0.78	1.00	1.00	0.77	0.86	1.00
JXMV01064573.1	1519	0.74	0.64	1.00	1.00	1.00	1.00	1.00	1.00
JXMV01064573.1	1522	0.85	1.00	1.00	1.00	1.00	0.78	0.96	1.00
JXMV01064573.1	1523	1.00	0.66	1.00	1.00	1.00	1.00	1.00	1.00
JXMV01064573.1	1531	0.94	0.66	1.00	1.00	1.00	1.00	0.65	1.00
JXMV01064573.1	1859	0.64	0.27	0.41	0.04	0.16	0.23	0.24	0.00
JXMV01064573.1	1926	0.99	0.80	1.00	0.50	1.00	0.78	0.65	1.00
JXMV01064574.1	2523	0.29	0.30	0.45	0.40	0.24	0.07	0.44	0.03
JXMV01064574.1	2570	0.99	0.96	0.99	0.98	0.99	0.75	0.94	0.08
JXMV01064574.1	2571	1.00	1.00	0.92	1.00	1.00	1.00	0.94	0.07
JXMV01064587.1	251	0.83	0.76	0.94	1.00	0.82	0.65	0.69	0.96
JXMV01064587.1	290	0.94	0.92	1.00	1.00	0.95	0.74	0.83	0.96
JXMV01064593.1	3032	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.01
JXMV01064593.1	3134	0.00	0.08	0.06	0.00	0.14	0.00	0.06	0.00
JXMV01064593.1	3474	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064593.1	3479	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064593.1	3480	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064593.1	3484	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064593.1	3485	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064593.1	3487	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00
JXMV01064593.1	3488	0.42	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064593.1	3498	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00
JXMV01064593.1	3499	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01
JXMV01064593.1	3505	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01
JXMV01064593.1	3506	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064593.1	3520	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064593.1	3521	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064593.1	3561	0.00	0.08	0.00	0.00	0.00	0.16	0.00	0.00
JXMV01064593.1	3562	0.00	0.10	0.00	0.00	0.00	0.16	0.09	0.00
JXMV01064593.1	3610	0.14	0.06	0.09	0.00	0.08	0.00	0.21	0.01
JXMV01064593.1	3639	0.00	0.00	0.00	0.00	0.15	0.51	0.06	0.10
JXMV01064593.1	3640	0.18	0.31	0.00	0.00	0.26	0.00	0.02	0.00
JXMV01064594.1	2323	0.43	0.67	0.26	1.00	0.56	0.25	0.30	0.44
JXMV01064601.1	2626	0.37	0.11	0.39	0.14	0.24	0.15	0.22	0.36
JXMV01064601.1	2647	0.03	0.00	0.00	0.00	0.02	0.00	0.05	0.00
JXMV01064610.1	2075	0.58	0.71	0.79	0.00	0.94	0.50	0.80	0.97
JXMV01064613.1	3776	0.11	0.00	0.00	0.00	0.00	0.00	0.02	0.00
JXMV01064632.1	3842	0.70	0.33	0.39	0.71	0.39	0.05	0.20	0.68
JXMV01064632.1	3890	0.50	0.03	0.01	0.05	0.06	0.05	0.16	0.04
JXMV01064648.1	1731	0.41	0.43	0.58	0.40	0.49	0.06	0.48	0.04
JXMV01064648.1	1778	0.96	0.82	0.66	0.98	0.43	0.75	0.94	0.04
JXMV01064648.1	1779	1.00	1.00	1.00	1.00	1.00	1.00	0.94	0.07
JXMV01064658.1	6135	0.24	0.23	0.19	0.00	0.13	0.00	0.17	0.00
JXMV01064658.1	6142	0.31	0.14	0.22	0.00	0.28	0.34	0.17	0.00
JXMV01064658.1	6146	0.24	0.14	0.19	0.00	0.40	0.00	0.17	0.00
JXMV01064659.1	1236	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064659.1	1586	0.00	0.01	0.20	0.00	0.01	0.00	0.00	0.00
JXMV01064659.1	1596	0.00	0.00	0.09	0.00	0.00	0.00	0.00	0.00
JXMV01064659.1	1599	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064659.1	1602	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064659.1	1627	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064659.1	1633	0.11	0.00	0.07	0.00	0.00	0.00	0.16	0.01
JXMV01064667.1	1693	0.35	0.47	0.37	0.00	0.15	0.11	0.41	0.00
JXMV01064667.1	1702	0.11	0.06	0.01	0.00	0.00	0.00	0.17	0.01
JXMV01064669.1	1905	0.71	0.03	0.00	0.02	0.00	0.23	0.76	0.00
JXMV01064669.1	1916	0.00	0.00	1.00	0.07	1.00	0.00	0.87	0.00
JXMV01064669.1	1918	0.75	0.97	1.00	0.07	1.00	0.23	0.87	0.00
JXMV01064669.1	1924	0.75	0.00	1.00	0.07	1.00	0.23	0.93	0.00
JXMV01064669.1	1929	0.75	0.00	1.00	0.08	1.00	0.23	0.87	0.00
JXMV01064669.1	1963	0.00	0.00	0.00	0.00	0.00	0.23	1.00	0.00
JXMV01064669.1	1968	0.77	0.00	1.00	0.00	0.34	0.24	1.00	0.00
JXMV01064686.1	2598	0.00	0.18	0.07	0.99	0.18	0.26	0.09	0.00
JXMV01064686.1	2612	0.00	0.16	0.10	0.99	0.14	0.26	0.09	0.00
JXMV01064686.1	2808	0.00	0.04	0.00	1.00	0.00	0.00	0.00	0.11
JXMV01064686.1	2812	0.00	0.04	0.00	1.00	0.00	0.00	0.00	0.11
JXMV01064691.1	2268	0.09	0.21	0.12	0.09	0.12	0.06	0.11	0.00
JXMV01064722.1	40	0.77	1.00	0.99	1.00	1.00	0.71	0.86	1.00
JXMV01064725.1	3679	0.04	0.01	0.02	0.00	0.00	0.00	0.24	0.00
JXMV01064731.1	1831	0.14	0.27	0.61	0.57	0.36	0.15	0.70	0.73
JXMV01064732.1	4298	1.00	0.77	1.00	0.99	0.79	0.56	0.99	0.01
JXMV01064732.1	4306	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064732.1	4308	1.00	0.87	0.92	1.00	0.93	0.76	0.99	0.01
JXMV01064759.1	2896	0.07	0.01	0.22	0.00	0.00	0.00	0.02	0.00
JXMV01064759.1	2954	0.00	0.66	0.00	0.00	0.00	0.00	0.04	0.00
JXMV01064759.1	2960	0.07	0.00	0.13	0.00	0.00	0.33	0.00	0.00
JXMV01064759.1	2986	0.00	0.00	0.02	0.00	0.01	0.00	0.02	0.00
JXMV01064765.1	2710	0.46	0.51	0.50	0.00	0.36	0.36	0.60	0.73
JXMV01064769.1	4149	0.15	0.23	0.00	0.00	0.01	0.00	0.15	0.00
JXMV01064769.1	4151	0.40	0.76	0.60	0.67	0.68	1.00	0.77	1.00
JXMV01064793.1	724	0.88	0.93	1.00	0.98	0.56	0.63	0.50	0.42
JXMV01064793.1	745	0.71	0.96	0.84	0.95	0.57	0.94	0.43	0.43
JXMV01064811.1	3000	0.20	0.00	0.02	0.06	0.06	0.00	0.01	0.06
JXMV01064846.1	1572	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
JXMV01064846.1	1772	0.00	0.00	0.00	0.01	0.00	0.00	0.01	0.00
JXMV01064846.1	1775	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064846.1	1791	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064846.1	1795	0.31	0.00	0.00	0.01	0.00	0.00	0.00	0.00
JXMV01064887.1	2837	0.41	0.10	0.00	0.00	0.02	0.03	0.16	0.18
JXMV01064913.1	2676	0.66	0.11	0.12	0.14	0.49	0.14	0.27	0.09
JXMV01064913.1	2890	0.03	0.01	0.03	0.06	0.05	0.25	0.25	0.00
JXMV01064919.1	1215	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064919.1	1222	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064919.1	1228	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064919.1	1356	0.00	0.01	0.21	0.01	0.00	0.02	0.00	0.00
JXMV01064919.1	1677	0.00	0.19	0.10	0.00	0.00	0.00	0.00	0.00
JXMV01064919.1	1680	0.00	0.19	0.00	0.00	0.11	0.00	0.00	0.00
JXMV01064919.1	1695	0.10	0.19	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064919.1	1701	0.00	0.00	0.00	0.00	0.11	0.00	0.00	0.00
JXMV01064919.1	1706	0.14	0.00	0.00	0.00	0.11	0.00	0.00	0.00
JXMV01064943.1	2846	0.04	0.01	0.03	0.00	0.17	0.02	0.00	0.00
JXMV01064944.1	2556	0.82	0.71	0.83	0.65	0.92	1.00	0.81	0.42
JXMV01064944.1	2573	0.88	0.67	0.84	0.65	0.91	1.00	0.89	1.00
JXMV01064949.1	42	0.04	0.01	0.04	0.03	0.17	0.02	0.04	0.00
JXMV01064973.1	333	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00
JXMV01064994.1	12	0.67	0.08	0.00	0.02	0.10	0.00	0.26	0.08
JXMV01064994.1	60	0.62	0.47	0.19	1.00	0.89	0.78	0.47	0.00
JXMV01065031.1	21	0.08	0.46	0.44	0.00	0.14	0.07	0.03	0.00
JXMV01065031.1	51	0.07	0.45	0.06	0.00	0.21	0.05	0.14	0.00
JXMV01065031.1	66	0.08	0.36	0.44	0.00	0.18	0.03	0.17	0.07
JXMV01065031.1	178	0.00	0.10	0.00	0.99	0.01	0.00	0.00	0.00
JXMV01065031.1	181	0.00	0.00	0.04	0.99	0.01	0.00	0.00	0.00
JXMV01065031.1	184	0.00	0.00	0.00	0.98	0.00	0.00	0.01	0.00
JXMV01065031.1	186	0.00	0.00	0.30	0.98	0.00	0.00	0.00	0.00
JXMV01065031.1	195	0.00	0.00	0.00	0.01	0.13	0.00	0.00	0.00
JXMV01065060.1	4757	0.60	0.75	0.84	0.00	0.85	0.70	0.58	0.06
JXMV01065060.1	4758	0.00	0.04	0.00	0.00	0.00	0.00	0.03	0.00
JXMV01065060.1	4772	0.71	0.83	0.92	0.00	0.88	0.82	0.12	0.12
JXMV01065060.1	4773	0.04	0.45	0.07	0.09	0.22	0.00	0.53	0.00
JXMV01065060.1	4787	0.55	0.83	0.91	0.00	0.90	0.84	0.77	0.12
JXMV01065060.1	4788	0.12	0.47	0.11	0.00	0.22	0.05	0.51	0.00
JXMV01065060.1	4818	0.00	0.00	0.06	0.00	0.36	0.00	0.06	0.00
JXMV01065060.1	4823	0.00	0.00	0.06	0.00	0.39	0.00	0.00	0.00
JXMV01065060.1	4834	0.00	0.00	0.12	0.04	0.36	0.00	0.03	0.00
JXMV01065103.1	4514	0.86	0.92	1.00	1.00	0.97	0.75	0.86	0.92
JXMV01065103.1	4553	0.73	0.78	0.94	1.00	0.83	0.64	0.76	1.00
JXMV01065213.1	1314	0.00	0.25	0.14	0.77	0.15	0.09	0.16	0.05
JXMV01065213.1	2208	0.32	0.38	0.12	0.00	0.35	0.71	0.07	0.00
JXMV01065213.1	2224	0.40	0.38	0.16	0.00	0.35	0.36	0.07	0.09
JXMV01065213.1	2240	0.41	0.01	0.14	0.97	0.70	0.36	0.41	0.00
JXMV01065220.1	2126	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01065220.1	2156	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01065220.1	2163	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01065220.1	2173	0.00	0.00	0.00	0.00	0.15	0.00	0.00	0.00
JXMV01065220.1	2180	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01
JXMV01065224.1	4883	0.23	0.57	0.23	0.00	0.40	0.00	0.30	1.00
JXMV01065304.1	5591	0.15	0.83	0.67	0.00	0.62	0.65	0.99	0.01
JXMV01065304.1	5606	0.00	0.16	0.26	0.00	0.00	0.00	0.75	0.00
JXMV01065304.1	5616	0.00	0.28	0.10	1.00	0.02	0.09	0.75	0.00
JXMV01065304.1	5625	0.01	0.16	0.22	0.00	0.09	0.09	0.38	0.00
JXMV01065341.1	1827	0.55	0.57	0.74	1.00	0.74	0.69	0.63	0.99
JXMV01065341.1	1849	0.68	0.92	0.75	0.00	0.84	0.64	0.67	0.96
JXMV01065361.1	894	0.93	1.00	1.00	1.00	0.52	0.55	0.75	0.00
JXMV01065361.1	901	0.97	1.00	1.00	1.00	0.88	1.00	1.00	0.00
JXMV01065385.1	1243	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01065385.1	1245	0.00	0.00	0.00	0.00	0.00	0.00	0.33	0.00
JXMV01065385.1	1254	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01065385.1	1375	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01065385.1	1415	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01065385.1	1432	0.00	0.00	0.28	0.00	0.00	0.00	0.00	0.00
JXMV01065387.1	627	0.00	0.00	0.29	0.00	0.00	0.00	0.00	0.00
JXMV01065387.1	644	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01065387.1	684	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01065387.1	805	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01065387.1	814	0.00	0.00	0.00	0.00	0.00	0.00	0.33	0.00
JXMV01065387.1	816	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01065437.1	54	0.72	1.00	0.36	0.00	1.00	0.37	0.21	0.12
JXMV01065437.1	55	0.99	0.37	0.27	0.00	1.00	0.69	0.34	0.11
JXMV01065437.1	73	0.68	0.99	0.43	0.00	1.00	0.59	0.15	0.19
JXMV01065437.1	74	0.95	0.72	0.29	0.00	0.99	0.69	0.35	0.11
JXMV01065437.1	82	0.72	1.00	0.42	0.00	1.00	0.48	0.00	0.21
JXMV01065437.1	83	0.96	0.51	0.20	0.00	0.57	0.32	0.05	0.11
JXMV01065437.1	95	0.83	0.50	0.53	0.01	0.87	0.40	0.15	0.14
JXMV01065437.1	143	0.25	0.30	0.24	0.04	0.05	0.42	0.29	0.00
JXMV01065455.1	875	0.35	0.06	0.27	0.12	0.59	0.17	0.55	0.02
JXMV01065455.1	1868	0.80	0.76	0.84	0.65	0.92	1.00	0.83	0.56
JXMV01065455.1	1885	0.85	0.73	0.85	0.67	0.87	1.00	0.91	1.00
JXMV01065482.1	190	0.00	0.00	0.01	0.60	0.00	0.00	0.00	0.00
JXMV01065483.1	1778	0.84	0.68	0.49	0.00	0.98	1.00	0.94	0.00
JXMV01065506.1	1309	0.91	0.59	0.95	0.82	0.93	0.91	0.71	0.92
JXMV01065506.1	1319	0.93	0.57	0.86	0.82	0.80	0.90	0.69	0.77
JXMV01065520.1	2624	0.68	0.93	0.85	0.83	0.78	0.33	0.81	1.00
JXMV01065536.1	126	0.16	0.20	0.20	0.10	0.09	0.04	0.25	0.04
JXMV01065536.1	173	0.93	0.96	0.99	0.98	0.98	0.75	0.94	0.08
JXMV01065536.1	174	1.00	0.99	1.00	1.00	1.00	1.00	0.95	0.07
JXMV01065540.1	1765	0.97	0.85	0.90	1.00	0.98	0.97	0.97	1.00
JXMV01065540.1	1770	0.83	0.69	0.88	1.00	0.97	0.97	0.82	0.84
JXMV01065540.1	1788	0.98	0.97	0.92	0.91	0.87	0.79	0.89	0.35
JXMV01065540.1	1790	0.86	0.70	0.80	0.05	0.86	0.56	0.65	1.00
JXMV01065574.1	815	0.00	0.12	0.07	1.00	0.26	0.62	0.00	0.00
JXMV01065574.1	841	0.00	0.10	0.15	0.00	0.00	0.62	0.01	0.00
JXMV01065590.1	821	0.00	0.11	0.24	0.00	0.00	0.33	0.17	0.00
JXMV01065590.1	866	0.00	0.18	0.03	0.53	0.33	0.13	0.33	1.00
JXMV01065647.1	1716	0.76	0.40	0.82	0.00	0.30	1.00	0.97	1.00
JXMV01065647.1	1721	0.80	0.40	0.54	1.00	0.30	1.00	0.71	1.00
JXMV01065653.1	29	0.17	0.01	0.11	0.00	0.00	0.12	0.01	0.00
JXMV01065653.1	58	0.14	0.00	0.10	0.00	0.00	0.00	0.01	0.00
JXMV01065653.1	64	0.00	0.00	0.11	0.00	0.02	0.12	0.01	0.10
JXMV01065657.1	1560	0.88	0.94	0.97	1.00	1.00	0.14	0.90	0.02
JXMV01065657.1	1564	0.79	1.00	0.84	1.00	0.43	0.14	0.68	1.00
JXMV01065657.1	1566	0.74	0.13	0.64	0.80	0.97	0.58	0.38	0.04
JXMV01065657.1	1597	0.85	0.98	0.77	1.00	0.93	0.14	0.53	0.00
JXMV01065657.1	1599	0.73	0.57	0.68	0.80	0.77	0.44	0.58	1.00
JXMV01065673.1	748	0.43	0.25	0.28	0.14	0.21	0.25	0.22	0.17
JXMV01065674.1	225	0.96	0.62	0.77	0.06	0.97	0.30	0.68	0.05
JXMV01065674.1	228	0.89	0.93	0.48	0.10	0.97	0.54	0.79	1.00
JXMV01065674.1	244	0.94	0.94	0.81	0.10	0.81	0.00	0.84	0.01
JXMV01065684.1	531	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01065684.1	536	0.31	0.00	0.00	0.00	0.00	0.00	0.12	0.00
JXMV01065684.1	596	0.12	0.00	0.00	0.00	0.29	0.00	0.15	0.00
JXMV01065684.1	1032	0.37	0.04	0.11	0.03	0.09	0.76	0.07	0.09
JXMV01065710.1	1034	0.36	0.22	0.20	0.49	0.12	0.00	0.38	0.01
JXMV01065725.1	219	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00
JXMV01065725.1	226	0.00	0.00	0.00	0.00	0.16	0.00	0.03	0.00
JXMV01065725.1	234	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00
JXMV01065725.1	249	0.00	0.00	0.00	0.00	0.01	0.00	0.03	0.00
JXMV01065725.1	290	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00
JXMV01065725.1	328	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01065725.1	338	0.00	0.06	0.00	0.00	0.00	0.11	0.00	0.46
JXMV01065725.1	423	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00
JXMV01065725.1	616	0.00	0.00	0.00	0.00	0.40	0.00	0.07	0.00
JXMV01065725.1	620	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00
JXMV01065725.1	626	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00
JXMV01065758.1	1045	0.31	0.35	0.53	0.26	0.15	0.00	0.04	0.04
JXMV01065758.1	1046	0.20	0.09	0.56	0.63	0.22	0.02	0.34	0.01
JXMV01065758.1	1197	0.00	0.02	0.38	0.98	0.87	0.29	0.82	0.03
JXMV01065758.1	1198	0.22	0.09	0.54	0.63	0.21	0.02	0.35	0.03
JXMV01065828.1	814	1.00	0.00	1.00	0.03	0.97	1.00	1.00	1.00
JXMV01065828.1	831	0.98	0.00	1.00	1.00	1.00	1.00	0.69	1.00
JXMV01065828.1	841	0.94	0.03	1.00	0.03	0.81	1.00	1.00	1.00
JXMV01065834.1	926	0.00	0.00	0.20	0.00	0.00	0.00	0.02	0.01
JXMV01065834.1	942	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01065834.1	948	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01065834.1	960	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01065834.1	1011	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01065834.1	1027	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01065834.1	1075	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01065834.1	1096	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01065834.1	1119	0.12	0.14	0.14	0.00	0.17	0.00	0.16	0.00
JXMV01065834.1	1124	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01065834.1	1129	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00
JXMV01065834.1	1144	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.00
JXMV01065834.1	1180	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01065834.1	1215	0.00	0.00	0.16	0.52	0.00	0.12	0.25	0.00
JXMV01065834.1	1221	0.00	0.09	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01065834.1	1232	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01065834.1	1254	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01065950.1	1485	0.16	0.32	0.47	0.00	0.38	1.00	0.17	0.98
JXMV01065950.1	1516	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01
JXMV01066011.1	554	0.83	0.91	0.82	0.20	0.87	0.97	0.71	0.94
JXMV01066011.1	558	0.78	0.76	0.86	1.00	0.75	1.00	0.82	0.22
JXMV01066011.1	564	0.95	0.91	0.81	1.00	0.98	0.89	0.97	1.00
JXMV01066011.1	569	0.75	0.69	0.79	1.00	0.95	0.94	0.78	0.83
JXMV01066011.1	587	0.97	0.96	0.85	0.90	0.94	0.81	0.94	0.38
JXMV01066033.1	55	0.16	0.14	0.56	0.00	0.30	0.25	0.06	0.00
JXMV01066033.1	111	0.21	0.04	0.05	0.00	0.04	0.54	0.33	0.06
JXMV01066046.1	859	0.82	0.70	0.79	0.19	0.93	1.00	0.84	0.56
JXMV01066046.1	876	0.81	0.57	0.78	0.81	0.85	0.90	0.86	1.00
JXMV01066217.1	704	0.99	0.99	1.00	0.27	0.50	0.12	0.95	1.00
JXMV01066217.1	722	0.80	0.36	0.97	0.27	0.49	0.00	0.51	1.00
JXMV01066217.1	731	0.96	0.94	1.00	1.00	0.51	1.00	0.64	1.00
JXMV01066363.1	1028	0.39	0.04	0.58	0.00	0.00	0.03	0.57	0.00
JXMV01066363.1	1035	0.75	0.52	0.79	0.00	0.51	0.71	0.94	1.00
JXMV01066385.1	134	0.70	1.00	0.99	0.00	0.98	0.59	0.76	1.00
JXMV01066403.1	100	0.00	0.12	0.04	0.00	0.03	0.00	0.05	0.00
JXMV01066403.1	197	1.00	0.94	0.74	1.00	1.00	1.00	0.99	1.00
JXMV01066403.1	215	0.89	0.92	0.78	1.00	0.75	1.00	0.82	1.00
JXMV01066468.1	143	0.08	0.03	0.01	0.00	0.02	0.03	0.34	0.75
JXMV01066469.1	1149	0.46	0.13	0.23	0.00	0.07	0.10	0.26	0.98
JXMV01066469.1	1205	0.04	0.04	0.04	0.00	0.02	0.00	0.01	0.00
JXMV01066651.1	636	0.00	0.00	0.00	0.00	0.00	0.18	0.00	0.00
JXMV01066660.1	31	0.87	0.99	0.58	0.84	0.99	0.40	0.87	1.00
JXMV01066660.1	36	0.77	0.99	0.84	1.00	0.98	0.38	0.64	1.00
JXMV01066660.1	42	0.78	0.99	0.83	1.00	0.99	0.37	0.88	1.00
JXMV01066660.1	69	1.00	1.00	0.81	1.00	0.99	0.68	0.66	1.00
JXMV01066757.1	1144	0.94	0.81	0.91	0.22	0.80	0.81	0.80	1.00
JXMV01066757.1	1152	0.86	0.79	0.92	0.22	0.80	0.81	0.72	1.00
JXMV01066794.1	1171	0.00	0.00	0.16	0.00	0.05	0.06	0.02	0.00
JXMV01066831.1	771	0.90	0.93	0.82	0.20	0.86	0.97	0.71	0.94
JXMV01066831.1	775	0.86	0.79	0.86	1.00	0.84	1.00	0.82	0.24
JXMV01066831.1	781	0.97	0.91	0.80	1.00	0.98	0.97	0.97	1.00
JXMV01066831.1	786	0.80	0.50	0.78	1.00	0.95	0.97	0.78	0.88
JXMV01066831.1	804	0.98	0.96	0.84	0.90	0.94	0.79	0.94	0.33
JXMV01066910.1	437	0.56	0.10	0.12	1.00	0.05	1.00	0.14	1.00
JXMV01066910.1	442	1.00	1.00	1.00	0.00	1.00	0.00	0.38	1.00
JXMV01066910.1	446	0.99	0.98	1.00	1.00	1.00	0.00	0.47	1.00
JXMV01066910.1	467	1.00	0.89	0.17	1.00	0.57	1.00	0.47	0.00
