chr	pos	NO_20-N4	NO_20-N2	NO_20-N1	HY_5-N1	HY_5-N2	HY_5-N3
KN811309.1	230561	0.97	0.91	0.98	0.97	0.97	0.97
KN811310.1	4919291	0.49	0.54	0.72	0.59	0.58	0.45
KN811311.1	1965795	0.86	0.91	0.83	0.89	0.99	0.88
KN811311.1	1965813	0.85	0.52	0.33	0.88	0.70	0.91
KN811312.1	1159385	0.83	0.22	1.00	0.89	0.83	0.77
KN811314.1	1848240	0.93	0.30	1.00	1.00	0.79	1.00
KN811315.1	1153275	0.60	1.00	1.00	1.00	1.00	1.00
KN811315.1	2355066	0.57	0.52	0.66	0.58	0.67	0.47
KN811315.1	2544563	0.78	0.83	1.00	0.89	0.79	0.58
KN811315.1	2544570	0.59	0.83	1.00	0.86	0.79	0.58
KN811315.1	2544583	0.80	0.78	1.00	0.89	0.79	0.75
KN811315.1	2544602	0.52	0.50	1.00	0.64	0.76	0.75
KN811316.1	1800941	0.89	1.00	0.97	0.93	0.83	0.81
KN811316.1	2277971	0.25	1.00	1.00	1.00	0.95	1.00
KN811317.1	2374001	0.90	1.00	0.94	0.98	0.93	0.92
KN811317.1	2374020	0.85	0.90	0.51	0.95	0.96	0.76
KN811318.1	1349073	0.15	0.50	0.21	0.21	0.78	0.96
KN811318.1	2503619	0.55	0.24	0.95	0.50	0.43	0.23
KN811318.1	2503706	0.72	0.38	1.00	0.85	0.77	0.18
KN811319.1	27618	0.85	0.11	0.62	0.80	0.73	0.71
KN811319.1	770652	0.92	1.00	1.00	0.52	0.77	1.00
KN811319.1	2248655	0.97	0.99	0.78	0.91	0.99	0.99
KN811319.1	2248682	0.63	0.64	0.78	0.91	0.96	0.67
KN811319.1	2248690	0.63	0.57	0.94	0.55	0.90	0.64
KN811320.1	1969410	1.00	0.92	1.00	0.32	0.93	0.50
KN811320.1	1969414	0.97	1.00	0.88	0.27	0.95	0.77
KN811320.1	1969422	0.23	0.92	1.00	0.96	0.95	0.53
KN811320.1	1969455	0.29	1.00	1.00	0.96	0.95	0.66
KN811320.1	2512830	0.52	1.00	1.00	0.89	0.91	0.97
KN811321.1	126156	0.19	0.15	0.25	0.17	0.32	0.14
KN811321.1	1297505	0.54	0.93	0.67	0.94	0.90	0.71
KN811321.1	1297525	0.57	0.89	0.75	0.99	0.88	0.79
KN811321.1	1842659	0.97	0.20	0.73	0.85	0.85	0.83
KN811321.1	2333657	0.27	0.18	0.11	0.35	0.43	0.19
KN811322.1	1049361	0.39	0.22	0.10	0.62	0.32	0.70
KN811322.1	1925763	0.92	0.30	1.00	0.90	0.75	1.00
KN811322.1	2230353	0.82	1.00	1.00	0.99	0.93	0.95
KN811322.1	2313781	0.83	0.56	0.17	0.36	0.33	0.41
KN811323.1	151755	0.69	0.30	0.51	0.32	0.44	0.84
KN811323.1	151765	0.74	0.20	0.72	0.36	0.58	0.84
KN811323.1	686196	0.62	0.15	0.93	1.00	0.44	0.32
KN811323.1	686199	0.92	1.00	1.00	0.91	1.00	0.99
KN811323.1	1145562	1.00	1.00	1.00	1.00	1.00	1.00
KN811323.1	1145598	0.22	0.94	0.95	0.89	0.96	0.96
KN811323.1	1145605	0.25	1.00	0.95	0.95	1.00	0.28
KN811323.1	1295102	0.82	1.00	1.00	1.00	0.94	0.89
KN811323.1	1295123	0.80	0.89	0.11	0.85	0.62	0.89
KN811323.1	1295137	0.85	0.89	0.20	0.93	0.63	0.86
KN811323.1	1353568	0.86	0.60	0.50	0.50	0.64	0.90
KN811323.1	2279586	0.20	0.45	0.58	0.83	0.45	0.88
KN811324.1	878563	0.14	0.75	0.88	0.46	0.82	0.85
KN811324.1	1114426	0.54	1.00	0.98	0.99	1.00	0.82
KN811324.1	1114454	0.19	0.28	1.00	1.00	0.98	1.00
KN811325.1	2007117	0.82	0.27	0.44	0.14	0.13	0.42
KN811326.1	1056842	0.79	0.85	0.72	0.43	0.49	0.79
KN811326.1	1056852	0.74	0.83	0.52	0.40	0.42	0.82
KN811326.1	1523259	0.44	0.50	0.27	0.53	0.55	0.93
KN811326.1	1523276	0.39	0.29	0.27	0.42	0.70	0.93
KN811326.1	2017695	0.92	0.79	1.00	0.95	0.29	0.88
KN811326.1	2223622	0.52	1.00	1.00	0.89	0.89	0.97
KN811326.1	2251756	0.34	0.12	0.97	0.55	0.37	0.36
KN811327.1	1092521	1.00	0.97	1.00	0.88	0.96	0.99
KN811327.1	1092529	0.95	1.00	0.50	0.79	0.88	0.79
KN811327.1	2019885	0.21	0.45	0.58	0.94	0.60	0.91
KN811328.1	173776	0.22	0.97	1.00	0.57	0.45	0.93
KN811328.1	173815	0.33	1.00	1.00	1.00	0.59	0.15
KN811328.1	173821	0.82	0.89	1.00	1.00	0.58	0.19
KN811328.1	309485	0.85	0.82	0.86	0.79	0.89	0.92
KN811328.1	715041	0.88	0.80	1.00	0.98	0.84	0.88
KN811328.1	715062	0.75	1.00	1.00	0.88	0.80	0.82
KN811328.1	1032041	0.88	0.97	0.87	0.73	0.91	0.96
KN811328.1	1032054	0.74	0.97	1.00	0.73	0.75	0.95
KN811328.1	1350950	0.92	1.00	1.00	0.93	0.91	0.94
KN811328.1	1830620	0.51	0.60	0.25	0.71	0.61	0.32
KN811328.1	1830644	0.81	1.00	0.50	0.78	0.81	0.98
KN811328.1	1830663	0.62	0.90	0.50	0.59	0.56	0.49
KN811329.1	1346244	0.12	0.19	0.30	0.92	0.33	0.23
KN811330.1	330349	0.88	0.18	0.10	0.62	0.43	0.15
KN811330.1	886480	0.84	0.61	0.54	0.79	0.83	0.68
KN811330.1	886514	0.97	0.24	0.58	0.89	0.57	0.90
KN811330.1	2282345	0.52	0.83	0.79	0.83	0.75	0.80
KN811330.1	2282350	0.56	0.61	0.79	0.93	0.75	0.55
KN811330.1	2282352	0.47	0.83	0.74	0.74	0.83	0.82
KN811332.1	1940853	0.34	0.54	1.00	1.00	0.95	1.00
KN811332.1	1941029	1.00	1.00	0.99	0.86	1.00	0.61
KN811332.1	1941037	1.00	1.00	1.00	0.78	1.00	1.00
KN811332.1	1941044	1.00	1.00	1.00	0.78	1.00	1.00
KN811332.1	1941054	1.00	1.00	1.00	1.00	1.00	1.00
KN811332.1	2024698	0.48	0.88	0.35	0.53	0.66	0.16
KN811333.1	1786286	0.84	0.52	0.76	0.85	0.96	0.91
KN811333.1	1786288	0.68	0.43	0.67	0.84	0.86	0.89
KN811334.1	203713	0.45	0.88	0.33	0.52	0.69	0.16
KN811334.1	2158778	0.89	0.93	0.90	0.92	0.85	0.90
KN811334.1	2158798	0.81	1.00	0.95	0.84	0.87	0.78
KN811334.1	2158939	1.00	0.36	0.92	0.98	0.12	0.98
KN811335.1	1172151	0.93	0.97	1.00	0.97	0.30	1.00
KN811335.1	1173047	0.94	0.97	1.00	0.97	0.30	1.00
KN811335.1	1173300	0.94	0.97	1.00	0.97	0.30	1.00
KN811336.1	182575	0.59	0.73	0.52	0.76	0.81	0.56
KN811336.1	182580	0.57	0.77	0.52	0.91	0.75	0.51
KN811336.1	182586	0.44	0.77	0.62	0.78	0.80	0.49
KN811336.1	182747	0.73	0.78	0.40	0.74	0.92	0.72
KN811337.1	952726	1.00	1.00	0.97	1.00	0.94	1.00
KN811338.1	1318886	0.82	0.27	0.44	0.14	0.13	0.42
KN811339.1	47197	0.74	0.47	0.87	0.79	0.77	0.83
KN811339.1	47204	0.74	0.78	0.98	0.45	0.97	0.91
KN811339.1	47228	0.81	0.65	0.77	0.85	0.56	0.82
KN811339.1	47240	1.00	0.93	0.97	0.87	0.97	0.81
KN811339.1	47582	0.83	0.95	1.00	0.98	0.93	0.68
KN811339.1	47587	0.92	1.00	0.92	0.17	0.86	1.00
KN811339.1	2855681	0.21	0.45	0.58	0.94	0.67	0.91
KN811340.1	2022115	0.62	0.83	0.83	0.89	0.97	0.85
KN811340.1	2022128	0.84	0.89	0.75	0.94	0.98	0.91
KN811340.1	2022131	0.90	0.89	0.92	0.89	0.94	0.93
KN811340.1	2057989	0.43	1.00	0.79	0.88	0.35	0.94
KN811340.1	2057991	0.82	1.00	0.84	0.81	0.91	0.94
KN811340.1	2057996	0.54	1.00	0.79	1.00	0.96	0.53
KN811340.1	2058002	0.48	1.00	0.84	1.00	0.98	0.90
KN811340.1	2219123	0.91	0.18	0.14	0.48	0.38	0.21
KN811340.1	4900083	1.00	1.00	1.00	1.00	0.56	0.42
KN811340.1	4900089	0.30	0.65	1.00	0.36	0.82	0.62
KN811341.1	1855787	0.88	0.97	0.87	0.71	0.92	0.96
KN811341.1	1855800	0.74	0.97	1.00	0.85	0.76	0.97
KN811342.1	47262	0.86	0.91	0.83	0.89	0.99	0.95
KN811342.1	47280	0.84	0.52	0.33	0.86	0.70	0.90
KN811342.1	259823	0.80	0.64	0.17	0.72	0.18	0.80
KN811342.1	1406663	0.68	0.90	1.00	0.88	0.88	0.97
KN811342.1	1406684	0.42	0.60	0.75	0.76	0.82	0.63
KN811342.1	1634340	1.00	1.00	1.00	1.00	1.00	1.00
KN811342.1	1634352	1.00	0.98	1.00	1.00	1.00	1.00
KN811343.1	1420630	0.29	0.25	0.81	0.45	0.17	0.22
KN811344.1	469781	0.14	0.53	0.38	0.50	0.69	0.89
KN811345.1	139199	1.00	0.56	1.00	0.66	1.00	0.96
KN811345.1	1463858	0.88	0.80	1.00	0.98	0.85	0.88
KN811345.1	1463879	0.75	1.00	1.00	0.88	0.80	0.82
KN811345.1	1463893	0.87	0.27	0.62	0.27	0.45	0.34
KN811345.1	1963215	0.40	0.29	0.10	0.53	0.39	0.50
KN811346.1	807836	1.00	1.00	1.00	1.00	0.50	0.92
KN811346.1	1179144	0.90	1.00	1.00	0.88	0.90	0.89
KN811347.1	600717	0.31	0.16	0.89	0.85	0.63	0.82
KN811347.1	614519	0.85	1.00	0.92	0.81	0.98	0.75
KN811347.1	614528	0.87	1.00	1.00	0.65	0.44	0.74
KN811347.1	614539	0.87	0.47	1.00	0.52	0.38	0.98
KN811347.1	614565	0.48	1.00	1.00	0.56	0.44	1.00
KN811347.1	1015902	0.47	0.57	0.94	0.88	0.67	0.52
KN811347.1	1024762	0.82	0.93	0.96	0.93	0.93	0.97
KN811347.1	1277040	0.71	0.77	0.96	0.63	0.68	0.83
KN811347.1	1277090	0.74	0.64	0.95	0.64	0.85	0.92
KN811347.1	1277122	0.70	0.82	1.00	0.73	0.91	0.92
KN811347.1	1277124	0.89	1.00	1.00	0.77	0.97	0.97
KN811347.1	1277129	0.81	0.73	0.74	0.91	0.94	0.97
KN811347.1	1277135	0.94	1.00	1.00	0.95	1.00	0.96
KN811347.1	1867090	0.88	0.81	1.00	0.85	0.92	0.95
KN811347.1	1867096	0.87	0.71	0.81	0.84	0.95	0.93
KN811347.1	1867101	0.88	0.77	1.00	0.88	0.60	0.85
KN811347.1	1867103	0.84	0.65	1.00	0.86	0.94	0.88
KN811347.1	1867135	0.83	0.55	0.95	0.74	0.82	0.82
KN811347.1	1867185	0.76	0.72	1.00	0.68	0.86	0.57
KN811348.1	242334	0.87	0.93	0.82	0.98	0.79	0.75
KN811348.1	1416542	0.53	0.20	0.12	0.40	0.62	0.80
KN811349.1	1352359	0.93	1.00	1.00	1.00	1.00	0.93
KN811349.1	1352376	1.00	1.00	1.00	0.74	0.39	0.93
KN811349.1	1352382	0.64	0.14	1.00	0.79	0.87	0.69
KN811349.1	1352388	0.64	0.20	0.77	0.79	0.87	0.90
KN811349.1	1854012	0.15	0.50	0.42	0.83	0.50	0.92
KN811349.1	2026291	0.89	0.97	0.29	0.86	0.36	0.56
KN811350.1	432642	0.88	0.80	1.00	0.98	0.84	0.88
KN811350.1	432663	0.75	1.00	1.00	0.90	0.80	0.82
KN811351.1	271176	0.65	1.00	1.00	1.00	0.98	0.93
KN811351.1	271193	0.67	1.00	1.00	0.70	0.65	0.90
KN811351.1	271199	0.21	0.60	1.00	0.75	0.87	0.72
KN811351.1	271205	0.25	1.00	0.77	0.75	0.87	0.91
KN811351.1	271216	0.21	0.50	1.00	0.75	0.74	0.69
KN811351.1	2089237	0.24	0.18	0.98	0.40	0.75	0.15
KN811352.1	70576	0.51	1.00	1.00	1.00	0.72	1.00
KN811352.1	70597	0.80	0.82	0.95	0.90	0.91	0.90
KN811352.1	70627	0.85	0.74	1.00	0.86	0.79	0.71
KN811352.1	1299243	1.00	1.00	1.00	0.75	1.00	1.00
KN811352.1	1299270	1.00	1.00	1.00	0.75	1.00	0.97
KN811352.1	1299291	1.00	0.17	1.00	0.77	1.00	0.97
KN811352.1	1439967	0.88	1.00	1.00	0.87	0.90	0.89
KN811354.1	176979	0.92	0.92	1.00	0.55	0.88	0.95
KN811354.1	177009	0.67	0.33	0.33	0.31	0.63	0.30
KN811354.1	682903	0.73	1.00	1.00	1.00	0.88	0.93
KN811354.1	1361880	0.74	0.38	1.00	0.29	0.58	0.50
KN811354.1	1361932	0.55	0.73	0.71	0.65	0.62	0.68
KN811354.1	1361939	0.58	0.73	0.59	0.73	0.79	0.76
KN811355.1	1041421	0.67	0.21	0.45	0.54	0.42	0.79
KN811355.1	1041466	0.35	0.73	0.62	0.54	0.49	0.60
KN811355.1	1041468	0.92	0.85	0.85	0.94	0.97	0.81
KN811355.1	1633584	0.86	1.00	1.00	0.96	0.91	0.97
KN811355.1	1633597	0.85	1.00	1.00	0.98	0.87	0.97
KN811355.1	1633600	0.90	1.00	1.00	0.92	0.95	0.95
KN811356.1	761438	0.62	0.65	1.00	0.93	0.75	0.92
KN811356.1	1567131	0.11	0.20	0.69	0.40	0.11	0.33
KN811356.1	1673857	0.62	0.82	0.85	0.74	0.76	0.44
KN811359.1	1838312	0.17	0.16	0.50	0.28	0.32	0.43
KN811360.1	115613	0.40	0.24	0.92	0.31	0.64	0.26
KN811360.1	115626	0.27	0.24	0.95	0.77	0.60	0.29
KN811360.1	115658	0.52	0.22	0.52	0.57	0.88	0.28
KN811362.1	101071	0.96	1.00	0.98	0.99	1.00	0.99
KN811362.1	101102	0.98	1.00	1.00	1.00	0.98	1.00
KN811362.1	101632	0.97	0.12	1.00	0.53	0.54	0.15
KN811362.1	672599	0.25	0.40	0.19	0.82	0.78	0.91
KN811362.1	853730	1.00	1.00	1.00	1.00	1.00	1.00
KN811363.1	1573921	0.75	1.00	1.00	0.95	0.43	0.98
KN811364.1	101042	0.82	0.52	0.76	0.84	0.95	0.87
KN811364.1	101044	0.65	0.43	0.67	0.84	0.85	0.86
KN811364.1	190302	0.44	0.89	0.79	0.35	0.89	0.18
KN811364.1	190538	0.71	0.95	0.93	0.78	0.92	0.77
KN811364.1	416750	0.25	0.40	0.19	0.82	0.78	0.91
KN811365.1	166430	1.00	1.00	0.97	1.00	0.94	1.00
KN811365.1	314072	0.90	0.97	0.94	0.88	1.00	0.88
KN811365.1	314080	0.90	0.97	0.71	1.00	1.00	0.98
KN811365.1	314107	0.96	0.98	0.71	1.00	0.89	0.98
KN811365.1	625049	0.89	0.87	0.83	0.81	0.89	0.91
KN811365.1	625057	0.83	0.80	0.58	0.71	0.84	0.93
KN811365.1	1493168	0.99	0.89	0.37	0.85	0.89	0.85
KN811365.1	1929649	0.97	1.00	0.70	0.88	0.91	0.85
KN811365.1	1929657	0.97	1.00	0.79	0.94	0.91	0.87
KN811365.1	1929684	0.94	1.00	0.79	0.94	1.00	0.98
KN811366.1	138196	0.86	0.75	0.70	0.97	0.93	0.47
KN811366.1	1182416	0.64	0.71	0.87	0.57	0.77	0.79
KN811367.1	1871148	0.89	0.64	0.50	0.23	0.66	0.90
KN811368.1	605750	0.80	0.53	0.66	0.47	0.49	0.67
KN811368.1	605751	0.95	1.00	1.00	0.63	0.90	0.95
KN811369.1	179797	0.75	0.37	1.00	0.93	0.54	0.52
KN811369.1	322716	0.62	1.00	1.00	1.00	0.41	0.90
KN811369.1	671531	0.84	0.91	0.75	0.88	0.99	0.95
KN811369.1	671549	0.81	0.52	0.50	0.86	0.64	0.92
KN811369.1	974169	0.64	0.41	0.40	0.61	0.77	0.67
KN811369.1	974210	0.66	0.93	0.93	0.79	0.66	0.77
KN811369.1	974218	0.73	0.42	0.61	0.81	0.74	0.86
KN811369.1	1809226	0.73	0.33	0.12	0.61	0.52	0.50
KN811370.1	886122	0.74	0.69	0.87	0.92	0.70	0.73
KN811371.1	665632	0.98	0.91	0.99	0.89	0.97	0.89
KN811371.1	2064021	0.71	0.92	0.15	0.95	0.96	1.00
KN811371.1	2064038	0.47	0.92	0.87	0.55	0.95	0.94
KN811371.1	2064343	0.94	0.72	0.16	0.54	0.68	0.88
KN811371.1	2290681	0.94	0.18	0.14	0.50	0.38	0.27
KN811371.1	3590240	0.30	1.00	0.93	0.19	0.67	0.91
KN811371.1	3590308	1.00	0.96	0.81	0.97	0.99	0.86
KN811371.1	3590329	0.96	0.91	0.62	0.95	0.98	0.91
KN811371.1	3630900	0.52	1.00	1.00	0.89	0.90	0.97
KN811372.1	636413	0.59	0.40	0.38	0.68	0.69	0.71
KN811372.1	636462	0.69	0.75	0.54	0.92	0.82	0.77
KN811372.1	3314799	0.99	0.85	0.81	0.75	0.74	0.91
KN811372.1	3314801	0.95	0.92	0.94	0.98	1.00	0.76
KN811372.1	3314806	0.51	0.89	0.93	0.77	0.74	0.91
KN811372.1	3314812	0.78	0.92	0.80	1.00	1.00	0.94
KN811372.1	3493954	0.67	1.00	1.00	1.00	1.00	1.00
KN811372.1	3573212	0.56	0.76	1.00	0.95	0.74	0.21
KN811372.1	3859949	0.82	0.67	0.77	0.62	0.96	0.68
KN811372.1	3859981	0.88	0.95	0.62	0.88	0.70	0.76
KN811372.1	3859983	0.91	0.84	0.85	0.83	0.93	0.82
KN811372.1	3859988	0.88	0.84	0.85	0.96	0.93	0.82
KN811372.1	4263098	0.19	0.62	0.25	0.31	0.58	0.45
KN811372.1	4263100	0.34	0.67	0.36	0.27	0.43	0.62
KN811374.1	258144	0.84	0.92	0.83	0.89	0.99	0.95
KN811374.1	258162	0.87	0.54	0.33	0.88	0.65	0.90
KN811374.1	843386	0.64	0.21	0.87	0.58	0.88	0.71
KN811374.1	843418	0.89	0.93	0.79	0.82	0.38	0.81
KN811374.1	843420	0.93	0.28	0.86	0.73	0.90	0.88
KN811374.1	843425	0.93	0.34	0.79	0.95	0.90	0.94
KN811374.1	1733810	0.51	1.00	1.00	0.89	0.94	0.97
KN811374.1	1873895	0.61	0.23	0.50	0.77	0.25	0.79
KN811374.1	1873905	0.70	0.33	0.71	0.88	0.31	0.78
KN811375.1	457970	0.85	0.92	0.82	0.94	0.91	0.90
KN811375.1	458142	0.98	0.95	0.69	0.81	0.38	0.79
KN811375.1	458151	0.87	0.97	1.00	0.86	0.79	0.38
KN811375.1	458400	1.00	0.26	1.00	0.98	1.00	0.53
KN811376.1	1748099	0.53	0.63	0.66	0.54	0.69	0.65
KN811376.1	1748101	0.41	0.58	0.86	0.62	0.62	0.60
KN811376.1	1748123	0.67	0.64	0.35	0.62	0.85	0.65
KN811376.1	1748125	0.56	0.64	0.35	0.62	0.39	0.50
KN811377.1	26268	0.72	0.60	0.16	0.50	0.30	0.88
KN811377.1	1126745	0.97	0.17	0.97	0.94	1.00	0.93
KN811377.1	1126749	0.98	0.97	0.97	0.89	0.99	0.80
KN811377.1	1126756	0.98	0.97	0.94	0.89	1.00	0.60
KN811377.1	1477687	0.69	0.64	0.88	0.75	0.74	0.85
KN811377.1	1496917	0.70	0.16	0.75	0.20	0.32	0.91
KN811378.1	267774	0.38	0.20	0.14	0.48	0.33	0.60
KN811378.1	749454	0.25	0.25	0.15	0.28	0.25	0.27
KN811379.1	1787783	1.00	0.97	1.00	0.42	0.82	0.13
KN811381.1	1482747	0.83	0.75	0.41	0.80	0.67	0.85
KN811382.1	158875	0.57	0.91	1.00	0.95	0.93	0.92
KN811382.1	158905	0.86	0.94	1.00	0.76	0.93	0.83
KN811382.1	169994	0.87	0.89	0.70	0.57	0.57	0.78
KN811382.1	170004	0.83	0.78	0.49	0.48	0.42	0.81
KN811383.1	366238	0.81	0.67	0.80	0.75	0.95	0.81
KN811383.1	366258	0.88	0.80	0.93	0.97	0.80	0.62
KN811383.1	366268	0.82	0.40	0.69	0.57	0.90	0.81
KN811383.1	1555267	0.68	0.57	1.00	0.82	0.67	0.77
KN811383.1	1555286	0.64	0.79	1.00	0.93	0.59	0.77
KN811383.1	1555299	0.52	0.93	1.00	0.89	0.59	0.64
KN811383.1	1555306	0.60	0.93	1.00	0.96	0.62	0.71
KN811384.1	363942	0.10	0.87	0.36	0.22	0.46	0.25
KN811384.1	1003619	0.55	0.93	0.91	0.86	0.89	0.78
KN811385.1	1061068	0.16	0.78	0.23	0.74	0.44	0.23
KN811386.1	304512	0.95	0.98	0.75	0.91	0.98	0.98
KN811386.1	304539	0.89	0.97	0.75	0.91	1.00	0.98
KN811386.1	304547	0.88	0.96	0.83	0.55	1.00	0.91
KN811386.1	1687633	0.59	0.42	0.24	0.56	0.41	0.65
KN811386.1	1687634	0.76	0.95	0.65	0.86	0.50	0.98
KN811386.1	1687657	0.73	0.64	0.53	0.85	0.77	0.80
KN811387.1	150573	1.00	0.31	1.00	1.00	1.00	1.00
KN811387.1	150589	1.00	0.62	1.00	1.00	1.00	1.00
KN811387.1	150597	1.00	1.00	1.00	1.00	1.00	1.00
KN811387.1	150604	1.00	1.00	1.00	1.00	1.00	1.00
KN811387.1	150612	1.00	0.62	1.00	1.00	1.00	1.00
KN811388.1	180944	0.81	0.36	0.92	0.96	0.76	0.88
KN811388.1	573180	0.92	0.75	1.00	0.93	0.85	0.89
KN811388.1	573188	0.70	0.73	1.00	0.67	0.70	0.64
KN811388.1	573305	0.64	0.36	0.31	0.95	0.80	0.97
KN811388.1	573337	0.63	0.34	0.31	0.79	0.80	0.97
KN811388.1	573339	0.74	0.36	0.31	0.93	0.60	0.84
KN811388.1	573344	0.70	0.36	0.31	0.89	0.73	1.00
KN811388.1	573350	0.52	0.36	0.31	0.98	0.69	0.90
KN811388.1	1025531	0.87	0.83	0.90	0.96	0.97	0.78
KN811388.1	1025536	0.86	0.93	1.00	0.95	0.91	0.89
KN811388.1	1025570	1.00	1.00	1.00	1.00	0.91	0.96
KN811389.1	637728	0.70	1.00	0.91	0.67	0.75	0.94
KN811390.1	159950	0.96	1.00	0.83	0.99	0.20	0.98
KN811390.1	911281	0.85	1.00	0.76	0.87	0.79	0.81
KN811390.1	1383426	1.00	1.00	1.00	1.00	0.98	1.00
KN811390.1	1383441	1.00	1.00	1.00	1.00	1.00	1.00
KN811390.1	1472096	0.14	0.33	0.30	0.18	0.20	0.24
KN811391.1	584295	0.99	0.22	1.00	0.85	0.70	0.92
KN811391.1	851317	0.12	0.12	0.31	0.43	0.20	0.61
KN811391.1	967675	0.95	0.21	0.81	0.90	0.42	0.75
KN811392.1	540699	0.97	1.00	1.00	1.00	1.00	0.99
KN811392.1	757459	0.92	0.92	1.00	0.97	0.98	0.92
KN811392.1	757462	0.89	0.62	0.75	0.99	0.95	0.91
KN811392.1	1769111	0.96	1.00	0.99	0.71	1.00	1.00
KN811392.1	1769142	1.00	1.00	1.00	0.58	1.00	1.00
KN811393.1	749080	0.82	0.52	0.76	0.85	0.95	0.91
KN811393.1	749082	0.65	0.43	0.67	0.84	0.85	0.89
KN811394.1	441783	0.31	0.24	0.56	0.94	1.00	0.67
KN811395.1	541608	0.46	0.18	0.12	0.44	0.43	0.47
KN811395.1	1619247	0.88	0.89	0.94	0.95	0.81	0.97
KN811395.1	1619248	0.65	0.90	0.93	1.00	0.77	0.30
KN811396.1	947352	0.70	0.18	0.10	0.60	0.43	1.00
KN811396.1	1372927	0.66	0.53	0.84	0.58	0.33	0.87
KN811397.1	23820	0.94	0.93	0.26	1.00	0.42	0.40
KN811398.1	142762	0.81	0.83	0.84	0.94	0.88	0.78
KN811398.1	142783	0.97	0.92	1.00	0.94	0.87	0.88
KN811398.1	142835	0.77	0.80	0.73	0.89	0.93	0.83
KN811398.1	142838	0.82	0.83	0.83	1.00	0.92	0.89
KN811398.1	142851	0.76	0.83	0.83	0.91	0.94	0.94
KN811398.1	1324029	0.73	0.93	0.76	0.86	0.62	0.86
KN811399.1	553093	0.20	0.18	0.36	0.25	0.20	0.24
KN811399.1	899621	0.66	0.20	1.00	0.82	0.31	0.91
KN811400.1	82516	0.58	0.50	0.89	0.71	0.64	0.88
KN811400.1	82566	0.90	0.62	0.88	0.91	0.84	0.91
KN811400.1	82598	0.85	0.62	0.94	0.95	0.84	0.88
KN811400.1	82600	0.92	0.81	1.00	0.95	0.77	0.85
KN811400.1	82605	0.92	0.69	0.83	0.95	0.84	0.97
KN811400.1	82611	0.98	0.86	0.92	1.00	0.90	0.94
KN811400.1	464522	0.15	0.37	1.00	0.80	0.87	0.60
KN811400.1	464527	0.29	0.26	1.00	0.84	0.87	0.78
KN811400.1	939772	0.80	0.38	0.17	0.93	0.70	0.85
KN811401.1	626823	0.65	0.97	0.79	0.94	0.90	0.75
KN811401.1	626855	0.95	0.97	0.75	0.96	0.91	0.96
KN811401.1	626857	0.93	0.90	0.68	1.00	0.70	0.94
KN811401.1	626862	0.90	0.93	0.81	0.94	0.93	0.92
KN811402.1	214776	0.98	0.58	1.00	0.88	0.85	0.96
KN811403.1	562727	0.80	0.94	1.00	0.77	0.93	0.80
KN811403.1	562731	0.86	0.97	1.00	0.82	0.96	0.86
KN811403.1	562740	0.81	0.91	0.68	0.77	0.77	0.82
KN811403.1	1425741	0.81	0.42	1.00	0.88	0.39	0.89
KN811404.1	723342	0.67	1.00	0.92	0.96	0.43	0.95
KN811404.1	894188	0.80	0.78	1.00	0.97	0.64	0.98
KN811405.1	485177	0.88	1.00	0.96	1.00	0.98	0.59
KN811405.1	1169403	0.52	1.00	1.00	0.89	0.91	0.97
KN811405.1	2129005	0.98	0.73	0.86	0.73	0.92	1.00
KN811405.1	2129015	0.97	1.00	0.86	0.98	0.94	1.00
KN811405.1	2129031	0.96	0.73	0.31	0.93	0.26	1.00
KN811405.1	2582991	0.70	0.18	0.14	0.57	0.36	0.82
KN811405.1	4598094	0.47	0.21	0.50	0.64	0.82	0.58
KN811406.1	390490	0.96	1.00	1.00	1.00	0.99	0.62
KN811406.1	464039	0.79	0.17	0.99	0.86	0.77	0.88
KN811406.1	464060	0.60	0.33	0.53	0.81	0.75	0.88
KN811406.1	464071	0.61	0.33	0.52	0.68	0.56	0.80
KN811406.1	511650	0.93	0.12	1.00	0.95	0.51	0.92
KN811406.1	1814525	0.93	0.76	0.60	0.89	0.95	0.82
KN811406.1	1843095	0.32	0.18	0.14	0.54	0.32	0.56
KN811406.1	2743385	0.66	0.93	0.87	0.76	0.83	0.90
KN811406.1	3830311	0.69	0.45	0.92	0.90	0.84	0.80
KN811406.1	3830324	0.74	0.45	0.96	1.00	0.88	0.88
KN811407.1	1392164	0.91	0.90	0.79	0.67	0.56	0.50
KN811407.1	1392246	0.37	0.45	0.82	0.30	0.86	0.49
KN811409.1	244226	0.48	0.54	0.72	0.59	0.58	0.45
KN811409.1	810680	0.56	0.20	0.47	0.62	0.50	0.23
KN811409.1	1591922	0.47	0.78	0.59	0.81	0.75	0.58
KN811409.1	1591928	0.62	0.72	0.49	0.94	0.68	0.58
KN811409.1	1591933	0.57	0.60	0.44	0.77	0.67	0.58
KN811410.1	792630	0.77	0.43	0.16	0.87	0.91	0.91
KN811410.1	792648	0.82	0.90	0.88	0.86	0.94	0.95
KN811410.1	830874	0.93	0.13	0.14	0.56	0.35	0.28
KN811411.1	1162743	0.65	0.50	0.80	0.69	0.93	0.81
KN811412.1	92724	0.48	0.88	0.33	0.52	0.66	0.16
KN811412.1	208348	0.88	0.64	0.44	0.53	0.64	0.84
KN811412.1	774915	0.48	0.88	0.33	0.52	0.66	0.16
