chr	pos	20_20-N4	20_20-N2	20_20-N1	5_5-N1	5_5-N2	5_5-N3
KN805586.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805586.1:1:721735:1 REF	709318	0.90	0.90	1.00	0.97	0.99	0.90
KN805586.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805586.1:1:721735:1 REF	709331	0.90	0.94	1.00	0.97	0.62	0.69
KN805586.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805586.1:1:721735:1 REF	709334	0.93	0.96	0.85	0.97	0.99	0.92
KN805589.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805589.1:1:753110:1 REF	595425	0.82	0.27	0.44	0.14	0.13	0.42
KN805602.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805602.1:1:643867:1 REF	553854	0.73	0.22	0.76	0.38	0.83	0.94
KN805602.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805602.1:1:643867:1 REF	553860	0.73	0.17	1.00	0.41	0.87	0.84
KN805603.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805603.1:1:4079260:1 REF	1076481	0.72	0.45	0.93	0.86	0.88	0.88
KN805603.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805603.1:1:4079260:1 REF	1076494	0.74	0.45	0.96	0.96	0.86	0.88
KN805603.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805603.1:1:4079260:1 REF	2242709	0.24	0.28	0.10	0.61	0.29	0.41
KN805603.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805603.1:1:4079260:1 REF	2829705	0.97	1.00	1.00	0.63	1.00	0.96
KN805603.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805603.1:1:4079260:1 REF	3026781	0.96	0.92	1.00	0.68	0.52	0.91
KN805603.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805603.1:1:4079260:1 REF	3026788	1.00	0.97	0.92	0.95	0.94	0.46
KN805603.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805603.1:1:4079260:1 REF	3026812	0.96	0.24	0.92	0.95	0.94	0.90
KN805603.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805603.1:1:4079260:1 REF	3049312	0.90	1.00	0.96	0.86	0.94	0.91
KN805603.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805603.1:1:4079260:1 REF	3091668	0.99	0.89	1.00	0.83	0.95	0.96
KN805603.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805603.1:1:4079260:1 REF	3252362	0.64	0.42	0.24	0.56	0.47	0.65
KN805603.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805603.1:1:4079260:1 REF	3252386	0.73	0.63	0.56	0.85	0.75	0.81
KN805603.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805603.1:1:4079260:1 REF	3354636	0.91	0.60	0.47	0.20	0.86	0.90
KN805603.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805603.1:1:4079260:1 REF	3687825	0.86	0.43	0.97	0.92	0.81	0.90
KN805603.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805603.1:1:4079260:1 REF	3944396	0.91	0.96	0.87	0.60	0.96	0.85
KN805603.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805603.1:1:4079260:1 REF	3944404	0.91	0.98	0.77	0.93	0.98	0.96
KN805603.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805603.1:1:4079260:1 REF	3944431	0.95	0.99	0.74	1.00	0.95	0.98
KN805604.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805604.1:1:3955291:1 REF	3648207	0.95	0.95	1.00	0.92	0.19	0.82
KN805604.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805604.1:1:3955291:1 REF	3723613	0.73	0.46	0.91	0.75	0.59	0.64
KN805605.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805605.1:1:692260:1 REF	12347	0.87	0.29	0.67	0.34	0.89	0.99
KN805605.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805605.1:1:692260:1 REF	12379	0.80	0.24	1.00	0.42	0.90	0.98
KN805605.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805605.1:1:692260:1 REF	12381	0.61	0.95	1.00	0.42	0.85	0.99
KN805605.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805605.1:1:692260:1 REF	12386	0.62	0.24	1.00	0.42	0.87	0.99
KN805605.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805605.1:1:692260:1 REF	12392	0.83	0.29	0.93	0.84	0.89	1.00
KN805605.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805605.1:1:692260:1 REF	173419	0.89	0.97	0.55	0.90	0.52	0.81
KN805607.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805607.1:1:673418:1 REF	412781	0.42	0.71	0.69	0.92	0.84	0.69
KN805608.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805608.1:1:633421:1 REF	134484	0.47	0.32	0.38	0.57	0.58	0.58
KN805608.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805608.1:1:633421:1 REF	134514	0.42	0.42	0.43	0.41	0.42	0.51
KN805609.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805609.1:1:712217:1 REF	188625	0.93	1.00	1.00	0.42	0.89	0.94
KN805609.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805609.1:1:712217:1 REF	552530	0.70	0.18	0.10	0.60	0.43	0.90
KN805609.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805609.1:1:712217:1 REF	608536	0.78	0.36	0.85	0.74	0.88	0.80
KN805609.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805609.1:1:712217:1 REF	608545	0.93	1.00	0.95	0.83	0.98	0.95
KN805610.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805610.1:1:629617:1 REF	41323	0.10	0.18	0.23	0.26	0.29	0.16
KN805610.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805610.1:1:629617:1 REF	285262	0.89	0.88	0.83	0.92	0.95	0.75
KN805610.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805610.1:1:629617:1 REF	285275	0.85	0.89	0.75	0.95	0.97	0.91
KN805610.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805610.1:1:629617:1 REF	285278	0.90	0.89	0.92	0.89	0.90	0.93
KN805611.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805611.1:1:647757:1 REF	491019	0.81	0.90	0.35	0.86	0.50	0.78
KN805614.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805614.1:1:614007:1 REF	503531	0.50	1.00	1.00	1.00	1.00	1.00
KN805615.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805615.1:1:639059:1 REF	153807	0.87	0.80	0.83	0.97	0.93	0.90
KN805615.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805615.1:1:639059:1 REF	153816	0.87	0.82	1.00	0.97	0.89	0.94
KN805615.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805615.1:1:639059:1 REF	153824	0.80	0.82	0.89	0.94	0.85	0.96
KN805616.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805616.1:1:675151:1 REF	299263	0.90	0.92	0.78	1.00	0.92	0.88
KN805616.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805616.1:1:675151:1 REF	299349	0.96	0.95	0.95	0.83	0.95	0.95
KN805616.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805616.1:1:675151:1 REF	299381	1.00	1.00	1.00	0.91	0.95	1.00
KN805616.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805616.1:1:675151:1 REF	299383	0.92	1.00	1.00	0.95	1.00	0.96
KN805616.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805616.1:1:675151:1 REF	299388	0.96	1.00	0.91	0.82	0.89	0.64
KN805616.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805616.1:1:675151:1 REF	299394	0.98	1.00	0.95	1.00	0.98	1.00
KN805616.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805616.1:1:675151:1 REF	397098	0.88	0.25	1.00	0.38	0.71	0.84
KN805617.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805617.1:1:651836:1 REF	456990	1.00	0.59	0.85	0.98	0.79	0.86
KN805617.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805617.1:1:651836:1 REF	456999	0.96	0.76	0.80	0.94	0.86	0.95
KN805620.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805620.1:1:639067:1 REF	265542	0.42	0.16	0.37	0.27	0.30	0.36
KN805620.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805620.1:1:639067:1 REF	265558	0.97	0.84	0.97	0.90	0.87	0.48
KN805620.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805620.1:1:639067:1 REF	265580	0.79	0.76	0.68	0.53	0.54	0.80
KN805620.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805620.1:1:639067:1 REF	294982	0.75	1.00	0.90	0.75	0.98	1.00
KN805620.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805620.1:1:639067:1 REF	294991	0.78	1.00	1.00	0.54	0.12	0.99
KN805620.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805620.1:1:639067:1 REF	295028	0.81	1.00	1.00	0.56	0.12	0.97
KN805621.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805621.1:1:638139:1 REF	42787	0.50	0.92	0.74	0.75	0.92	0.87
KN805621.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805621.1:1:638139:1 REF	42795	0.92	0.15	1.00	0.67	1.00	1.00
KN805621.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805621.1:1:638139:1 REF	42803	0.92	1.00	1.00	0.67	0.91	0.85
KN805621.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805621.1:1:638139:1 REF	42809	0.92	1.00	0.94	0.69	1.00	0.96
KN805621.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805621.1:1:638139:1 REF	42821	0.95	1.00	0.93	1.00	0.96	0.94
KN805621.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805621.1:1:638139:1 REF	282399	1.00	0.98	1.00	0.99	1.00	1.00
KN805621.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805621.1:1:638139:1 REF	282403	1.00	0.98	1.00	1.00	1.00	1.00
KN805621.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805621.1:1:638139:1 REF	282411	1.00	0.98	1.00	0.73	1.00	0.98
KN805621.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805621.1:1:638139:1 REF	282413	1.00	0.98	1.00	1.00	1.00	1.00
KN805624.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805624.1:1:676215:1 REF	231490	0.15	0.50	0.27	0.56	0.77	0.92
KN805627.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805627.1:1:618420:1 REF	333584	0.23	0.13	0.18	0.80	0.23	0.96
KN805627.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805627.1:1:618420:1 REF	557808	0.29	0.55	1.00	0.72	0.98	0.30
KN805627.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805627.1:1:618420:1 REF	557816	0.33	0.16	0.83	0.68	1.00	0.46
KN805628.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805628.1:1:622486:1 REF	196412	0.47	0.11	0.98	0.24	0.84	0.23
KN805628.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805628.1:1:622486:1 REF	210992	0.44	0.50	0.33	0.53	0.81	0.93
KN805629.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805629.1:1:700478:1 REF	181017	0.56	0.88	0.86	0.79	0.94	0.89
KN805629.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805629.1:1:700478:1 REF	181025	0.76	1.00	0.95	0.97	0.92	0.94
KN805629.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805629.1:1:700478:1 REF	181034	0.78	0.70	0.71	0.70	0.67	0.88
KN805629.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805629.1:1:700478:1 REF	210617	0.86	0.91	1.00	1.00	0.70	0.91
KN805629.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805629.1:1:700478:1 REF	266206	0.96	0.22	1.00	0.97	0.55	0.85
KN805629.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805629.1:1:700478:1 REF	421560	0.98	0.12	1.00	0.95	0.52	0.92
KN805629.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805629.1:1:700478:1 REF	605402	0.50	0.14	0.10	0.60	0.42	0.18
KN805629.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805629.1:1:700478:1 REF	605431	0.95	0.60	0.47	0.52	0.87	0.66
KN805635.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805635.1:1:687412:1 REF	657991	0.12	0.97	0.64	0.78	0.28	0.89
KN805635.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805635.1:1:687412:1 REF	658012	0.28	0.97	0.60	0.71	0.14	0.94
KN805636.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805636.1:1:608264:1 REF	508944	0.57	0.70	0.40	0.23	0.83	0.29
KN805636.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805636.1:1:608264:1 REF	508965	0.42	1.00	0.92	0.62	0.96	0.82
KN805643.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805643.1:1:565388:1 REF	117410	0.53	0.42	0.25	0.79	0.33	0.54
KN805643.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805643.1:1:565388:1 REF	117412	0.15	0.11	0.25	0.33	0.21	0.57
KN805643.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805643.1:1:565388:1 REF	563535	0.70	0.94	1.00	1.00	1.00	0.85
KN805645.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805645.1:1:614549:1 REF	400002	0.87	0.91	0.60	0.86	0.78	1.00
KN805645.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805645.1:1:614549:1 REF	450810	0.79	0.45	0.59	0.77	0.57	0.93
KN805646.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805646.1:1:561879:1 REF	476601	0.58	0.85	0.82	0.62	0.73	0.85
KN805646.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805646.1:1:561879:1 REF	476606	0.56	0.65	0.82	0.86	0.73	0.73
KN805646.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805646.1:1:561879:1 REF	476608	0.50	0.85	0.79	0.57	0.86	0.87
KN805649.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805649.1:1:578710:1 REF	83950	0.98	0.97	0.73	0.99	0.99	0.71
KN805650.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805650.1:1:604622:1 REF	378906	0.33	0.68	0.61	0.19	0.22	0.37
KN805652.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805652.1:1:553614:1 REF	283380	0.87	0.47	0.96	0.81	0.92	0.74
KN805655.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805655.1:1:630741:1 REF	273677	0.69	0.42	0.24	0.66	0.41	0.66
KN805657.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805657.1:1:581212:1 REF	49055	0.68	0.85	0.18	0.97	0.86	0.47
KN805658.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805658.1:1:669091:1 REF	19366	0.70	1.00	0.92	0.67	0.75	0.88
KN805658.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805658.1:1:669091:1 REF	60581	0.72	0.25	0.20	0.60	0.27	0.72
KN805658.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805658.1:1:669091:1 REF	152656	0.95	0.97	0.42	0.78	0.55	0.69
KN805658.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805658.1:1:669091:1 REF	191765	1.00	1.00	1.00	0.67	1.00	1.00
KN805658.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805658.1:1:669091:1 REF	191775	1.00	1.00	1.00	0.67	0.74	1.00
KN805658.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805658.1:1:669091:1 REF	191779	1.00	1.00	1.00	0.67	1.00	0.95
KN805658.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805658.1:1:669091:1 REF	192064	0.90	1.00	0.70	0.98	0.82	0.98
KN805658.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805658.1:1:669091:1 REF	192071	0.82	0.83	0.27	0.98	0.86	0.98
KN805659.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805659.1:1:543648:1 REF	395016	0.96	0.80	1.00	1.00	1.00	0.92
KN805659.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805659.1:1:543648:1 REF	395026	0.83	1.00	0.92	1.00	1.00	0.89
KN805659.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805659.1:1:543648:1 REF	395046	0.79	0.90	0.92	0.90	0.87	0.86
KN805660.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805660.1:1:575038:1 REF	200301	0.86	0.84	0.87	0.58	0.41	0.86
KN805660.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805660.1:1:575038:1 REF	200306	0.85	0.86	0.91	0.94	0.95	0.94
KN805660.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805660.1:1:575038:1 REF	200312	0.87	0.77	1.00	0.92	0.73	0.98
KN805660.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805660.1:1:575038:1 REF	240106	0.99	0.81	0.70	0.35	0.67	0.93
KN805660.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805660.1:1:575038:1 REF	240108	0.67	0.92	0.90	0.77	1.00	0.95
KN805661.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805661.1:1:579257:1 REF	178984	1.00	1.00	0.57	1.00	1.00	1.00
KN805661.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805661.1:1:579257:1 REF	269518	0.93	1.00	1.00	0.42	0.91	0.97
KN805661.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805661.1:1:579257:1 REF	276458	0.44	0.54	0.19	0.28	0.83	0.67
KN805662.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805662.1:1:532606:1 REF	163481	0.48	0.30	0.62	0.48	0.95	0.71
KN805662.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805662.1:1:532606:1 REF	293221	0.99	0.22	1.00	0.85	0.55	0.92
KN805662.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805662.1:1:532606:1 REF	474470	0.33	0.17	0.14	0.31	0.54	0.33
KN805665.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805665.1:1:524845:1 REF	171801	0.87	0.86	0.85	0.90	0.63	0.79
KN805665.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805665.1:1:524845:1 REF	171820	0.87	0.50	0.85	0.94	0.88	0.83
KN805669.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805669.1:1:535669:1 REF	347400	0.98	1.00	0.94	0.93	0.71	0.97
KN805670.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805670.1:1:527936:1 REF	459533	0.12	0.17	0.16	0.21	0.13	0.11
KN805671.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805671.1:1:522312:1 REF	321959	0.96	0.88	0.76	0.76	0.96	0.93
KN805671.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805671.1:1:522312:1 REF	321964	0.71	0.91	0.82	1.00	0.72	0.98
KN805677.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805677.1:1:546144:1 REF	9957	1.00	1.00	0.78	1.00	0.92	0.79
KN805677.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805677.1:1:546144:1 REF	133478	0.18	0.61	0.10	0.62	0.72	0.68
KN805677.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805677.1:1:546144:1 REF	265949	0.92	0.92	0.88	0.91	0.87	0.90
KN805677.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805677.1:1:546144:1 REF	265969	0.86	1.00	0.94	0.83	0.88	0.76
KN805677.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805677.1:1:546144:1 REF	266851	0.19	0.43	0.28	0.14	0.25	0.30
KN805679.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805679.1:1:591036:1 REF	168583	1.00	0.62	0.94	1.00	0.93	0.94
KN805680.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805680.1:1:554768:1 REF	464885	0.79	1.00	0.24	0.59	0.87	0.75
KN805680.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805680.1:1:554768:1 REF	500372	0.63	0.69	0.70	0.56	0.57	0.73
KN805681.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805681.1:1:536980:1 REF	491096	0.83	0.27	1.00	0.20	0.79	1.00
KN805683.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805683.1:1:546710:1 REF	220907	0.94	0.99	0.85	0.32	0.95	0.98
KN805686.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805686.1:1:543376:1 REF	158261	0.90	1.00	1.00	0.87	0.90	0.89
KN805689.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805689.1:1:581105:1 REF	140343	0.62	0.76	0.76	0.68	0.71	0.58
KN805689.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805689.1:1:581105:1 REF	140389	0.86	0.93	0.60	0.78	0.19	0.49
KN805689.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805689.1:1:581105:1 REF	140462	1.00	0.99	0.70	0.87	0.84	0.89
KN805689.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805689.1:1:581105:1 REF	140465	0.95	0.99	0.70	0.93	0.85	0.89
KN805689.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805689.1:1:581105:1 REF	140478	0.89	0.98	0.70	1.00	0.95	0.89
KN805689.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805689.1:1:581105:1 REF	195869	0.41	0.47	0.31	0.31	0.52	0.30
KN805689.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805689.1:1:581105:1 REF	195886	0.35	0.21	0.31	0.20	0.40	0.27
KN805689.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805689.1:1:581105:1 REF	206243	0.43	0.15	0.88	0.88	0.14	0.26
KN805691.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805691.1:1:514593:1 REF	241013	1.00	0.80	1.00	1.00	0.84	0.84
KN805692.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805692.1:1:534358:1 REF	523809	0.88	0.29	1.00	0.56	0.82	0.82
KN805696.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805696.1:1:537568:1 REF	11790	0.15	0.50	0.27	0.56	0.78	0.92
KN805697.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805697.1:1:580679:1 REF	3589	0.69	0.92	1.00	0.90	0.59	0.89
KN805697.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805697.1:1:580679:1 REF	163076	0.72	0.27	0.94	0.91	0.83	0.91
KN805697.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805697.1:1:580679:1 REF	163115	0.66	0.40	0.72	0.91	0.95	0.85
KN805697.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805697.1:1:580679:1 REF	180007	0.61	0.47	0.53	0.60	0.59	0.68
KN805697.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805697.1:1:580679:1 REF	288651	0.71	0.96	1.00	0.53	0.96	1.00
KN805697.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805697.1:1:580679:1 REF	288667	1.00	0.96	1.00	0.93	0.92	1.00
KN805697.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805697.1:1:580679:1 REF	288701	0.98	1.00	1.00	0.85	0.84	0.64
KN805697.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805697.1:1:580679:1 REF	289004	0.97	0.72	0.16	1.00	0.89	0.89
KN805697.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805697.1:1:580679:1 REF	375041	0.60	0.75	0.76	0.63	0.73	0.58
KN805698.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805698.1:1:3869695:1 REF	1789345	0.96	0.28	0.93	0.94	0.99	0.81
